OACI,Aeropuerto,Latitud,Longitud,Fecha,METAR,FECHA_HORA_REPORTE
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 09:05:00,SKBO 080900Z VRB01KT 9999 BKN040 11/11 Q1026 NOSIG =,2026-05-08 09:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 10:05:00,SKBO 081000Z 34003KT 9999 MIFG NSC 10/10 Q1026 TEMPO 5000 BR =,2026-05-08 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 10:05:00,SKBO 081030Z 01002KT 9999 MIFG FEW020 10/10 Q1026 TEMPO 5000 BR =,2026-05-08 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 11:05:00,SKBO 081100Z 04002KT 9999 MIFG FEW005 SCT050 09/09 Q1026 TEMPO 5000 BCFG =,2026-05-08 11:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 12:05:00,SKBO 081200Z 05003KT 9999 VCFG FEW035 BKN080 10/10 Q1027 NOSIG RMK VCFG SE/S =,2026-05-08 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 12:05:00,SKBO 081211Z 06005KT 9999 VCFG FEW035 BKN080 13/13 Q1027 NOSIG RMK VCFG SE/S =,2026-05-08 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 12:05:00,SKBO 081233Z 06005KT 9999 VCFG FEW040 BKN080 15/12 Q1027 NOSIG RMK VCFG S =,2026-05-08 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 13:05:00,SKBO 081300Z 06005KT 020V110 9999 FEW040 SCT080 15/11 Q1028 NOSIG =,2026-05-08 13:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 13:05:00,SKBO 081323Z 12005KT 030V160 9999 FEW040 SCT080 17/10 Q1028 NOSIG =,2026-05-08 13:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 14:05:00,SKBO 081400Z 08005KT 040V150 9999 SCT040 17/10 Q1028 NOSIG =,2026-05-08 14:05:00
