u,v,temperatura,rocio
-1.9999999999999998,-3.464101615137755,15.0,4.0
2.0000000000000018,-3.4641016151377535,16.0,7.0
-4.999999999999999,8.660254037844387,18.0,2.0
-15.035081932574535,5.472322293210699,20.0,4.0
-13.85640646055102,7.999999999999997,21.0,5.0
-11.817693036146496,2.0837781320031636,21.0,3.0
-10.724622203665692,8.99902653561155,21.0,3.0
-10.392304845413264,5.999999999999998,20.0,4.0
-10.392304845413264,5.999999999999998,17.0,5.0
-8.660254037844387,4.999999999999998,16.0,5.0
-7.878462024097664,1.3891854213354424,14.0,6.0
-2.298133329356934,-1.9283628290596182,11.0,6.0
0.0,0.0,11.0,6.0
-3.064177772475912,-2.5711504387461575,9.0,5.0
-2.4999999999999996,-4.330127018922194,7.0,5.0
-0.9999999999999999,-1.7320508075688774,7.0,4.0
-1.0260604299770062,-2.8190778623577253,8.0,5.0
-1.0260604299770062,-2.8190778623577253,6.0,4.0
-0.6840402866513374,-1.8793852415718169,7.0,6.0
-0.6840402866513374,-1.8793852415718169,6.0,5.5
-0.6840402866513374,-1.8793852415718169,5.0,5.0
-0.520944533000791,-2.954423259036624,4.0,3.0
-2.8190778623577253,1.0260604299770062,9.0,6.0
-6.928203230275509,-4.000000000000001,12.0,8.0
-7.713451316238474,9.192533317427735,16.0,5.0
-12.124355652982143,6.999999999999997,18.0,5.0
-12.124355652982143,6.999999999999997,19.0,5.0
-12.124355652982143,6.999999999999997,19.0,5.0
-10.392304845413264,5.999999999999998,19.0,5.0
-10.392304845413264,5.999999999999998,18.0,6.0
-10.392304845413264,5.999999999999998,18.0,6.0
-14.772116295183121,2.6047226650039548,17.0,5.0
-10.392304845413264,5.999999999999998,16.0,6.0
-11.817693036146496,2.0837781320031636,15.0,6.0
-6.92820323027551,3.9999999999999987,14.0,6.0
-8.660254037844387,4.999999999999998,12.0,6.0
-5.196152422706632,2.999999999999999,12.0,6.0
-5.196152422706632,2.999999999999999,11.0,6.0
-4.0,-2.4492935982947064e-16,11.0,6.0
-2.0,-1.2246467991473532e-16,10.0,7.0
-2.0,-1.2246467991473532e-16,8.0,6.0
2.0000000000000018,-3.4641016151377535,10.0,7.0
-0.6945927106677213,-3.939231012048832,8.0,6.0
0.0,0.0,6.0,5.0
-3.8567256581192355,-4.596266658713868,6.0,6.0
-1.2855752193730785,-1.532088886237956,5.0,5.0
-3.4641016151377544,-2.0000000000000004,11.0,8.0
-6.893654271085456,-1.2155372436685128,15.0,7.0
-9.0,-5.51091059616309e-16,16.0,7.0
-8.0,-4.898587196589413e-16,18.0,7.0
-12.802500789158705,2.2574263096700937,18.0,8.0
-10.724622203665692,8.99902653561155,18.0,8.0
-13.85640646055102,7.999999999999997,18.0,7.0
-10.724622203665692,8.99902653561155,18.0,9.0
-11.276311449430901,4.104241719908025,17.0,9.0
-9.84807753012208,1.736481776669303,17.0,9.0
-17.726539554219745,3.1256671980047455,16.0,7.0
-3.939231012048832,-0.6945927106677217,15.0,7.0
-7.66044443118978,6.427876096865393,14.0,8.0
-2.0521208599540124,-5.638155724715451,13.0,8.0
-3.8567256581192355,-4.596266658713868,12.0,9.0
-2.0521208599540124,-5.638155724715451,12.0,9.0
-3.9999999999999996,-6.92820323027551,12.0,9.0
-2.7361611466053497,-7.517540966287267,11.0,9.0
-1.9999999999999998,-3.464101615137755,12.0,9.0
-0.9999999999999999,-1.7320508075688774,11.0,9.0
-0.9999999999999999,-1.7320508075688774,10.0,8.0
-1.9999999999999998,-3.464101615137755,9.0,8.0
-1.9999999999999998,-3.464101615137755,10.0,8.0
-0.9999999999999999,-1.7320508075688774,11.0,8.0
0.0,0.0,12.0,8.0
-4.999999999999999,-8.660254037844387,30.0,8.0
-3.420201433256687,-9.396926207859085,15.0,8.0
-0.6840402866513374,-1.8793852415718169,17.0,8.0
-0.5209445330007908,2.954423259036624,18.0,8.0
-2.571150438746158,3.0641777724759116,21.0,8.0
-8.426488874308758,7.070663706551933,21.0,6.0
-13.85640646055102,7.999999999999997,22.0,6.0
-11.276311449430901,4.104241719908025,22.0,5.0
2.736161146605349,-7.517540966287267,19.0,11.0
7.878462024097664,1.3891854213354426,18.0,12.0
6.5778483455013586,2.39414100327968,16.0,11.0
3.8302222155948904,-3.2139380484326963,14.0,11.0
2.598076211353316,-1.5000000000000004,12.0,11.0
-1.4999999999999998,-2.598076211353316,11.0,9.0
1.5000000000000013,-2.598076211353315,10.0,7.0
-0.8682408883346516,-4.92403876506104,8.0,6.0
-2.571150438746157,-3.064177772475912,8.0,6.0
-1.2855752193730785,-1.532088886237956,8.0,6.0
3.7587704831436333,-1.368080573302676,6.0,5.0
0.0,0.0,5.0,4.0
0.0,0.0,5.0,5.0
0.0,0.0,2.0,2.0
2.5711504387461583,-3.064177772475911,1.0,1.0
1.2855752193730792,-1.5320888862379556,2.0,2.0
-1.3680805733026749,-3.7587704831436337,4.0,4.0
-1.3680805733026749,-3.7587704831436337,7.0,7.0
-0.6840402866513374,-1.8793852415718169,13.0,6.0
-6.928203230275509,-4.000000000000001,17.0,3.0
-5.142300877492314,-6.128355544951824,19.0,1.0
-2.7361611466053497,-7.517540966287267,21.0,0.0
-2.0521208599540124,-5.638155724715451,21.0,4.5
9.192533317427735,7.713451316238474,21.0,9.0
10.0,1.8369701987210296e-15,19.0,10.0
9.396926207859085,3.4202014332566852,18.0,10.0
9.848077530122081,-1.7364817766692997,17.0,11.0
6.928203230275509,-4.000000000000001,15.0,11.0
4.698463103929543,1.7101007166283426,14.0,11.0
2.819077862357725,-1.026060429977007,13.0,11.0
5.638155724715451,2.0521208599540115,13.0,11.0
4.330127018922192,2.500000000000002,13.0,10.0
